"Value of Exports by Major Country/Region/Certain Entity of Destination (FOB value:million US$), 2000-2025",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region/Certain Entity of Destination,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Taiwan, - , - ," 2,067.5 "," 2,233.1 "," 2,854.3 "," 2,475.0 "," 2,734.8 "," 2,596.7 "," 3,154.7 "," 3,382.1 "," 4,837.6 "," 6,584.9 "," 6,242.5 "," 5,862.4 "," 6,425.1 "," 5,043.5 "," 3,655.8 "," 4,229.2 "," 4,703.1 "," 4,034.8 "," 4,097.4 "," 6,960.2 "," 8,678.2 "," 6,703.9 "," 6,686.6 "," 5,543.4 "
China, - , - ," 2,902.9 "," 3,802.5 "," 4,604.7 "," 6,662.4 "," 8,343.6 "," 9,675.5 "," 11,636.5 "," 11,499.3 "," 15,692.6 "," 22,941.0 "," 21,659.5 "," 22,601.5 "," 17,605.9 "," 15,046.4 "," 16,790.8 "," 23,083.1 "," 27,132.2 "," 27,961.9 "," 31,781.8 "," 53,772.5 "," 65,929.7 "," 65,036.7 "," 62,739.6 "," 66,964.3 "
Others," 13,351.0 "," 11,862.5 ", - , - ," 5,534.2 "," 7,173.2 "," 8,566.8 "," 11,625.6 "," 15,273.4 "," 13,498.0 "," 17,416.6 "," 22,902.8 "," 22,059.7 "," 22,630.6 "," 24,076.8 "," 22,128.1 "," 19,059.6 "," 24,225.8 "," 24,133.4 "," 21,908.3 "," 20,001.1 "," 27,588.7 "," 41,142.6 "," 36,816.2 "," 38,328.5 "," 39,085.6 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRICA," 1,098.5 "," 1,181.9 ", - , - ," 1,359.4 "," 1,669.0 "," 1,985.6 "," 2,541.9 "," 3,333.3 "," 2,802.9 "," 3,657.0 "," 5,675.3 "," 5,713.7 "," 5,615.5 "," 6,262.3 "," 4,759.5 "," 4,186.3 "," 4,887.8 "," 4,782.1 "," 4,603.4 "," 4,614.7 "," 7,065.5 "," 7,509.5 "," 6,883.6 "," 6,343.9 "," 8,492.9 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA & OCEANIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia," 1,519.4 "," 1,844.9 "," 1,924.4 "," 1,791.6 "," 1,887.4 "," 2,227.6 "," 2,771.3 "," 3,394.6 "," 4,111.0 "," 3,264.2 "," 4,244.4 "," 5,582.5 "," 4,905.4 "," 4,370.5 "," 4,948.4 "," 3,702.3 "," 3,208.9 "," 2,524.4 "," 2,819.6 "," 2,328.6 "," 2,505.7 "," 3,223.5 "," 3,466.4 "," 3,176.8 "," 4,966.8 "," 3,733.0 "
New Zealand, - , - , - , - , 187.2 , 275.3 , 320.0 , 362.2 , 542.3 , 349.5 , 396.2 , 371.7 , 441.0 , 469.5 , 481.4 , 436.2 , 366.6 , 437.4 , 490.7 , 447.5 , 480.0 , 718.8 , 731.3 , 592.9 , 683.0 , 780.4 
Rest of Oceania, 174.6 , 241.1 , 246.3 , 258.1 , 70.1 , 85.6 , 96.4 , 73.6 , 167.0 , 243.0 , 249.8 , 348.9 , 336.4 , 367.5 , 308.6 , 295.0 , 338.1 , 302.6 , 269.6 , 289.8 , 304.5 , 342.8 , 419.1 , 517.3 , 661.4 , 801.8 
